iter	Passed	Remaining
0	1	1902
1	3	1779
2	5	1848
3	8	2021
4	10	2000
5	11	1954
6	13	1915
7	15	1878
8	16	1852
9	18	1837
10	20	1827
11	22	1828
12	24	1849
13	26	1857
14	34	2276
15	37	2295
16	41	2379
17	43	2379
18	45	2369
19	48	2353
20	50	2347
21	53	2366
22	56	2399
23	58	2396
24	61	2391
25	63	2386
26	66	2383
27	69	2395
28	71	2393
29	73	2383
30	75	2374
31	78	2365
32	80	2359
33	83	2360
34	86	2374
35	88	2370
36	90	2358
37	92	2342
38	94	2325
39	96	2309
40	98	2299
41	102	2345
42	105	2341
43	107	2336
44	109	2331
45	112	2324
46	114	2317
47	116	2308
48	118	2292
49	119	2277
50	121	2263
51	123	2249
52	125	2235
53	126	2220
54	128	2208
55	130	2200
56	132	2188
57	134	2176
58	135	2165
59	137	2155
60	139	2145
61	141	2137
62	143	2129
63	145	2122
64	147	2115
65	148	2108
66	150	2099
67	152	2091
68	154	2083
69	156	2075
70	157	2066
71	159	2059
72	161	2055
73	163	2050
74	165	2045
75	167	2041
76	169	2034
77	177	2092
78	179	2088
79	181	2081
80	182	2074
81	184	2065
82	186	2057
83	187	2048
84	189	2040
85	191	2032
86	193	2029
87	195	2021
88	196	2014
89	198	2006
90	200	1998
91	201	1991
92	203	1984
93	205	1976
94	206	1969
95	208	1964
96	210	1958
97	212	1952
98	213	1946
99	215	1941
100	217	1935
101	219	1931
102	221	1926
103	223	1923
104	225	1919
105	227	1916
106	229	1911
107	230	1906
108	232	1901
109	234	1896
110	236	1890
111	237	1885
112	239	1881
113	241	1876
114	243	1871
115	244	1866
116	246	1862
117	248	1856
118	250	1852
119	252	1849
120	254	1846
121	256	1843
122	258	1841
123	259	1836
124	261	1831
125	263	1827
126	265	1822
127	266	1818
128	268	1814
129	270	1811
130	272	1807
131	274	1803
132	275	1798
133	277	1794
134	279	1790
135	281	1785
136	282	1780
137	284	1775
138	286	1771
139	288	1769
140	289	1765
141	291	1762
142	293	1758
143	295	1754
144	296	1750
145	298	1746
146	300	1741
147	301	1737
148	303	1734
149	305	1730
150	307	1726
151	308	1722
152	310	1718
153	311	1713
154	313	1710
155	315	1706
156	317	1702
157	319	1703
158	321	1702
159	323	1698
160	325	1695
161	327	1692
162	328	1688
163	330	1685
164	332	1683
165	334	1681
166	336	1678
167	338	1675
168	340	1672
169	341	1669
170	343	1666
171	345	1663
172	347	1660
173	349	1658
174	351	1659
175	353	1656
176	355	1653
177	357	1650
178	359	1647
179	360	1644
180	362	1640
181	364	1638
182	366	1637
183	368	1633
184	370	1630
185	371	1626
186	373	1623
187	375	1619
188	376	1616
189	378	1612
190	380	1610
191	381	1607
192	383	1603
193	385	1600
194	386	1597
195	388	1594
196	390	1591
197	392	1588
198	394	1586
199	395	1583
200	397	1581
201	399	1578
202	401	1575
203	403	1572
204	404	1569
205	406	1566
206	408	1563
207	409	1561
208	411	1557
209	413	1556
210	415	1553
211	417	1551
212	418	1548
213	420	1544
214	422	1541
215	423	1538
216	425	1535
217	427	1532
218	429	1531
219	431	1528
220	432	1525
221	434	1522
222	436	1519
223	437	1516
224	439	1515
225	441	1512
226	443	1509
227	445	1506
228	446	1504
229	448	1501
230	450	1498
231	451	1495
232	453	1493
233	455	1490
234	457	1487
235	458	1485
236	460	1482
237	462	1480
238	463	1477
239	465	1474
240	467	1471
241	469	1469
242	470	1467
243	472	1464
244	474	1462
245	476	1460
246	478	1458
247	479	1455
248	481	1452
249	483	1450
250	485	1447
251	486	1445
252	488	1442
253	490	1439
254	492	1437
255	493	1435
256	495	1432
257	497	1429
258	499	1428
259	500	1425
260	502	1422
261	504	1420
262	505	1417
263	507	1415
264	509	1413
265	511	1410
266	513	1408
267	515	1407
268	516	1404
269	518	1401
270	520	1399
271	521	1396
272	523	1394
273	525	1392
274	527	1389
275	529	1387
276	530	1385
277	532	1382
278	534	1380
279	535	1377
280	537	1374
281	539	1373
282	541	1371
283	543	1370
284	545	1368
285	547	1365
286	548	1363
287	550	1361
288	552	1358
289	554	1357
290	556	1356
291	558	1355
292	560	1352
293	562	1350
294	564	1348
295	565	1345
296	567	1343
297	569	1341
298	571	1339
299	573	1337
300	574	1334
301	576	1332
302	578	1330
303	580	1327
304	581	1325
305	583	1323
306	585	1321
307	587	1319
308	588	1316
309	590	1314
310	592	1312
311	594	1310
312	596	1308
313	597	1306
314	599	1304
315	601	1303
316	604	1301
317	606	1299
318	607	1297
319	609	1295
320	611	1293
321	613	1290
322	614	1288
323	616	1286
324	618	1284
325	620	1282
326	621	1280
327	623	1277
328	625	1275
329	627	1273
330	628	1270
331	630	1268
332	632	1265
333	634	1265
334	636	1263
335	638	1260
336	639	1258
337	641	1256
338	643	1254
339	645	1252
340	646	1250
341	649	1248
342	650	1246
343	652	1244
344	654	1242
345	656	1240
346	658	1238
347	660	1236
348	661	1234
349	663	1232
350	666	1231
351	667	1229
352	669	1227
353	671	1225
354	673	1222
355	674	1220
356	676	1218
357	678	1216
358	680	1214
359	682	1212
360	683	1210
361	685	1208
362	687	1206
363	689	1204
364	691	1202
365	692	1200
366	694	1198
367	696	1196
368	698	1194
369	700	1192
370	701	1190
371	703	1187
372	705	1185
373	707	1183
374	709	1182
375	711	1180
376	712	1178
377	714	1176
378	716	1173
379	718	1171
380	719	1169
381	721	1167
382	723	1165
383	725	1163
384	726	1160
385	728	1159
386	730	1156
387	732	1154
388	734	1152
389	735	1151
390	737	1149
391	739	1147
392	741	1144
393	743	1143
394	744	1140
395	746	1138
396	748	1136
397	750	1134
398	751	1132
399	754	1131
400	755	1128
401	757	1126
402	759	1124
403	761	1122
404	762	1120
405	764	1118
406	766	1116
407	768	1114
408	769	1112
409	771	1110
410	773	1108
411	775	1106
412	776	1104
413	778	1102
414	780	1099
415	781	1097
416	783	1095
417	785	1093
418	786	1091
419	788	1089
420	790	1086
421	792	1084
422	793	1082
423	795	1080
424	797	1078
425	799	1076
426	800	1074
427	802	1072
428	804	1070
429	806	1068
430	808	1067
431	810	1065
432	812	1063
433	813	1061
434	815	1059
435	817	1057
436	818	1055
437	820	1052
438	822	1051
439	824	1049
440	825	1046
441	828	1045
442	830	1043
443	831	1041
444	833	1039
445	835	1037
446	836	1035
447	838	1033
448	840	1031
449	842	1029
450	844	1027
451	846	1025
452	847	1023
453	849	1021
454	851	1020
455	853	1018
456	855	1016
457	857	1014
458	859	1012
459	860	1010
460	862	1008
461	864	1006
462	866	1004
463	868	1003
464	870	1001
465	872	999
466	873	997
467	875	995
468	877	993
469	879	991
470	880	989
471	882	987
472	884	985
473	886	983
474	887	981
475	889	979
476	891	977
477	893	975
478	895	973
479	896	971
480	898	969
481	901	968
482	903	966
483	904	964
484	906	962
485	908	960
486	910	958
487	912	957
488	914	955
489	916	953
490	918	951
491	920	949
492	921	947
493	923	946
494	925	944
495	927	942
496	929	940
497	931	938
498	933	936
499	935	935
500	936	933
501	938	931
502	940	929
503	942	927
504	944	925
505	946	924
506	948	922
507	950	920
508	952	918
509	954	916
510	955	914
511	957	912
512	959	910
513	961	908
514	962	906
515	964	904
516	966	903
517	968	900
518	969	898
519	971	896
520	973	894
521	975	893
522	976	891
523	978	888
524	980	887
525	982	885
526	983	883
527	985	880
528	987	878
529	988	876
530	990	874
531	992	872
532	993	870
533	996	869
534	997	867
535	999	865
536	1001	863
537	1002	861
538	1004	859
539	1006	857
540	1007	855
541	1009	853
542	1011	851
543	1013	849
544	1015	847
545	1016	845
546	1018	843
547	1020	841
548	1022	839
549	1024	837
550	1025	835
551	1027	834
552	1029	832
553	1031	830
554	1033	828
555	1035	826
556	1036	824
557	1038	822
558	1040	820
559	1041	818
560	1043	816
561	1045	814
562	1046	812
563	1048	810
564	1050	808
565	1051	806
566	1053	804
567	1055	802
568	1056	800
569	1058	798
570	1060	796
571	1061	794
572	1063	792
573	1065	790
574	1066	788
575	1068	786
576	1070	784
577	1071	782
578	1073	780
579	1075	778
580	1076	776
581	1078	774
582	1080	772
583	1081	770
584	1083	768
585	1085	766
586	1086	764
587	1088	762
588	1090	761
589	1092	759
590	1094	757
591	1095	755
592	1097	753
593	1099	751
594	1100	749
595	1102	747
596	1104	745
597	1106	743
598	1108	741
599	1110	740
600	1111	738
601	1113	736
602	1115	734
603	1117	732
604	1119	730
605	1121	729
606	1123	727
607	1125	725
608	1126	723
609	1128	721
610	1130	719
611	1132	718
612	1135	716
613	1137	714
614	1138	713
615	1140	711
616	1142	709
617	1144	707
618	1145	705
619	1147	703
620	1149	701
621	1151	699
622	1153	697
623	1155	696
624	1156	694
625	1158	692
626	1160	690
627	1161	688
628	1163	686
629	1165	684
630	1167	682
631	1168	680
632	1170	678
633	1172	676
634	1173	674
635	1175	672
636	1177	670
637	1178	668
638	1180	667
639	1182	665
640	1184	663
641	1185	661
642	1187	659
643	1189	657
644	1190	655
645	1192	653
646	1194	651
647	1196	649
648	1197	647
649	1199	645
650	1201	644
651	1202	642
652	1204	640
653	1206	638
654	1208	636
655	1209	634
656	1211	632
657	1214	630
658	1215	629
659	1217	627
660	1219	625
661	1220	623
662	1222	621
663	1224	619
664	1226	617
665	1228	615
666	1230	614
667	1231	612
668	1233	610
669	1235	608
670	1237	606
671	1239	604
672	1240	602
673	1243	601
674	1245	599
675	1246	597
676	1248	595
677	1250	593
678	1251	591
679	1253	589
680	1255	588
681	1257	586
682	1259	584
683	1261	582
684	1262	580
685	1264	578
686	1266	576
687	1267	574
688	1269	573
689	1271	571
690	1273	569
691	1275	567
692	1277	565
693	1279	564
694	1280	562
695	1282	560
696	1284	558
697	1286	556
698	1288	554
699	1290	552
700	1292	551
701	1294	549
702	1295	547
703	1297	545
704	1299	543
705	1301	541
706	1302	539
707	1304	538
708	1306	536
709	1308	534
710	1310	532
711	1311	530
712	1313	528
713	1315	526
714	1317	525
715	1319	523
716	1320	521
717	1322	519
718	1324	517
719	1326	515
720	1327	513
721	1329	511
722	1331	510
723	1333	508
724	1335	506
725	1336	504
726	1338	502
727	1340	500
728	1342	499
729	1344	497
730	1345	495
731	1347	493
732	1349	491
733	1350	489
734	1352	487
735	1354	485
736	1356	484
737	1358	482
738	1359	480
739	1361	478
740	1363	476
741	1364	474
742	1366	472
743	1368	470
744	1370	468
745	1371	467
746	1373	465
747	1375	463
748	1377	461
749	1379	459
750	1380	457
751	1382	456
752	1384	454
753	1386	452
754	1388	450
755	1390	448
756	1392	446
757	1393	445
758	1395	443
759	1397	441
760	1399	439
761	1401	437
762	1403	435
763	1405	434
764	1407	432
765	1408	430
766	1410	428
767	1412	426
768	1414	424
769	1416	423
770	1418	421
771	1419	419
772	1421	417
773	1423	415
774	1425	413
775	1427	411
776	1429	410
777	1431	408
778	1433	406
779	1435	404
780	1436	402
781	1438	401
782	1440	399
783	1441	397
784	1443	395
785	1445	393
786	1446	391
787	1448	389
788	1450	387
789	1452	386
790	1453	384
791	1455	382
792	1457	380
793	1458	378
794	1460	376
795	1462	374
796	1464	372
797	1465	371
798	1467	369
799	1469	367
800	1470	365
801	1472	363
802	1474	361
803	1476	359
804	1478	358
805	1480	356
806	1481	354
807	1483	352
808	1485	350
809	1487	348
810	1489	347
811	1490	345
812	1492	343
813	1494	341
814	1496	339
815	1497	337
816	1499	335
817	1501	334
818	1503	332
819	1505	330
820	1507	328
821	1508	326
822	1510	324
823	1512	323
824	1514	321
825	1515	319
826	1517	317
827	1519	315
828	1521	313
829	1522	311
830	1524	310
831	1526	308
832	1528	306
833	1530	304
834	1531	302
835	1533	300
836	1535	299
837	1538	297
838	1539	295
839	1541	293
840	1543	291
841	1546	290
842	1548	288
843	1550	286
844	1552	284
845	1554	282
846	1555	281
847	1557	279
848	1559	277
849	1561	275
850	1563	273
851	1564	271
852	1566	270
853	1568	268
854	1570	266
855	1572	264
856	1574	262
857	1576	260
858	1578	259
859	1580	257
860	1582	255
861	1583	253
862	1585	251
863	1587	249
864	1589	248
865	1590	246
866	1592	244
867	1594	242
868	1596	240
869	1597	238
870	1599	236
871	1601	235
872	1602	233
873	1604	231
874	1607	229
875	1609	227
876	1610	225
877	1612	224
878	1614	222
879	1615	220
880	1617	218
881	1619	216
882	1621	214
883	1623	212
884	1624	211
885	1626	209
886	1628	207
887	1629	205
888	1631	203
889	1633	201
890	1634	199
891	1636	198
892	1638	196
893	1640	194
894	1641	192
895	1643	190
896	1645	188
897	1646	187
898	1648	185
899	1650	183
900	1651	181
901	1654	179
902	1655	177
903	1657	176
904	1659	174
905	1660	172
906	1662	170
907	1664	168
908	1666	166
909	1668	164
910	1670	163
911	1671	161
912	1673	159
913	1675	157
914	1677	155
915	1678	153
916	1680	152
917	1682	150
918	1684	148
919	1686	146
920	1687	144
921	1689	142
922	1691	141
923	1692	139
924	1694	137
925	1696	135
926	1697	133
927	1700	131
928	1702	130
929	1703	128
930	1705	126
931	1707	124
932	1708	122
933	1710	120
934	1712	119
935	1714	117
936	1716	115
937	1718	113
938	1719	111
939	1721	109
940	1723	108
941	1724	106
942	1726	104
943	1728	102
944	1729	100
945	1731	98
946	1733	97
947	1735	95
948	1737	93
949	1738	91
950	1740	89
951	1742	87
952	1744	86
953	1746	84
954	1748	82
955	1750	80
956	1751	78
957	1753	76
958	1755	75
959	1756	73
960	1758	71
961	1760	69
962	1762	67
963	1763	65
964	1765	64
965	1767	62
966	1769	60
967	1770	58
968	1772	56
969	1774	54
970	1775	53
971	1777	51
972	1779	49
973	1781	47
974	1782	45
975	1784	43
976	1786	42
977	1788	40
978	1790	38
979	1791	36
980	1793	34
981	1795	32
982	1797	31
983	1799	29
984	1800	27
985	1802	25
986	1804	23
987	1806	21
988	1807	20
989	1809	18
990	1811	16
991	1813	14
992	1814	12
993	1816	10
994	1818	9
995	1820	7
996	1821	5
997	1823	3
998	1825	1
999	1827	0
